,id,full_name,first_name,last_name,is_active
3482,200838,Kevinn Pinkney,Kevinn,Pinkney,False
3483,77861,John Pinone,John,Pinone,False
3484,1629033,Theo Pinson,Theo,Pinson,False
3485,77862,Dave Piontek,Dave,Piontek,False
3486,77863,Tom Piotrowski,Tom,Piotrowski,False
3487,937,Scottie Pippen,Scottie,Pippen,False
3488,1630590,Scotty Pippen Jr.,Scotty,Pippen Jr.,True
3489,77864,Charlie Pittman,Charlie,Pittman,False
3490,202354,Dexter Pittman,Dexter,Pittman,False
3491,2565,Zoran Planinic,Zoran,Planinic,False
3492,202353,Tibor Pleiss,Tibor,Pleiss,False
3493,1627850,Marshall Plumlee,Marshall,Plumlee,False
3494,203486,Mason Plumlee,Mason,Plumlee,True
3495,203101,Miles Plumlee,Miles,Plumlee,False
3496,77865,Gary Plummer,Gary,Plummer,False
3497,2750,Pavel Podkolzin,Pavel,Podkolzin,False
3498,1641764,Brandin Podziemski,Brandin,Podziemski,True
3499,1627751,Jakob Poeltl,Jakob,Poeltl,True
3500,1629738,Vincent Poirier,Vincent,Poirier,False
3501,1630197,Aleksej Pokusevski,Aleksej,Pokusevski,True
3502,77866,Dwayne Polee,Dwayne,Polee,False
3503,77867,Jim Pollard,Jim,Pollard,False
3504,1513,Scot Pollard,Scot,Pollard,False
3505,77868,Ralph Polson,Ralph,Polson,False
3506,178,Olden Polynice,Olden,Polynice,False
3507,77869,Cliff Pondexter,Cliff,Pondexter,False
3508,202347,Quincy Pondexter,Quincy,Pondexter,False
3509,1629044,Shamorie Ponds,Shamorie,Ponds,False
3510,1630582,Yves Pons,Yves,Pons,False
3511,1629673,Jordan Poole,Jordan,Poole,True
3512,77870,David Pope,David,Pope,False
3513,998,Mark Pope,Mark,Pope,False
3514,77872,Dave Popson,Dave,Popson,False
3515,77873,Ben Poquette,Ben,Poquette,False
3516,2084,Chris Porter,Chris,Porter,False
3517,1641854,Craig Porter,Craig,Porter,True
3518,77875,Howard Porter,Howard,Porter,False
3519,1629007,Jontay Porter,Jontay,Porter,True
3520,77876,Kevin Porter,Kevin,Porter,False
3521,345,Terry Porter,Terry,Porter,False
3522,1629645,Kevin Porter Jr.,Kevin,Porter Jr.,True
3523,1629008,Michael Porter Jr.,Michael,Porter Jr.,True
3524,203490,Otto Porter Jr.,Otto,Porter Jr.,True
3525,1626171,Bobby Portis,Bobby,Portis,True
3526,77878,Bob Portman,Bob,Portman,False
3527,204001,Kristaps Porzingis,Kristaps,Porzingis,True
3528,1899,James Posey,James,Posey,False
3529,2068,Lavor Postell,Lavor,Postell,False
3530,958,Vitaly Potapenko,Vitaly,Potapenko,False
3531,1630695,Micah Potter,Micah,Potter,True
3532,200796,Leon Powe,Leon,Powe,False
3533,203939,Dwight Powell,Dwight,Powell,True
3534,2694,Josh Powell,Josh,Powell,False
3535,1641920,Justin Powell,Justin,Powell,True
3536,2867,Kasib Powell,Kasib,Powell,False
3537,1629619,Myles Powell,Myles,Powell,False
